FECHA_MEDICION,LABORATORIO_COSTERO,ANOMALIA_TEMPERATURA
1972-08-09,ILO,2.5245
1972-08-10,ILO,2.8245
1972-08-11,ILO,2.8912
1972-08-14,ILO,3.2909
1972-08-15,ILO,2.4575
1972-08-16,ILO,2.1909
1972-08-17,ILO,1.5909
1972-08-18,ILO,1.2909
1972-08-21,ILO,0.8553
1972-08-22,ILO,0.7553
1972-08-23,ILO,1.322
1972-08-24,ILO,1.7845
1972-08-25,ILO,1.2845
1972-08-28,ILO,0.2845
1972-08-29,ILO,0.663
1972-08-31,ILO,1.1297
1972-09-01,ILO,0.6963
1972-09-04,ILO,0.2387
1972-09-11,ILO,0.5728
1972-09-12,ILO,1.7395
1972-09-13,ILO,1.102
1972-09-14,ILO,0.702
1972-09-15,ILO,0.5687
1972-09-18,ILO,0.6207
1972-09-19,ILO,0.854
1972-09-20,ILO,0.3207
1972-09-21,ILO,0.4873
1972-09-22,ILO,0.354
1972-09-25,ILO,0.7026
1972-09-26,ILO,0.636
1972-09-27,ILO,0.4026
1972-09-28,ILO,0.01
1972-09-29,ILO,-0.5234
1972-10-02,ILO,0.01
1972-10-03,ILO,-0.6716
1972-10-04,ILO,-0.5382
1972-10-05,ILO,-0.3049
1972-10-06,ILO,-0.2382
1972-10-13,ILO,-0.1574
1972-10-16,ILO,0.3426
1972-10-17,ILO,0.8092
1972-10-18,ILO,0.2964
1972-10-19,ILO,-0.0369
1972-10-24,ILO,-0.0978
1972-10-25,ILO,0.0689
1972-10-26,ILO,0.9022
1972-10-27,ILO,1.5022
1972-10-30,ILO,-0.3381
1972-10-31,ILO,0.1285
1972-12-04,ILO,1.4122
1972-12-13,ILO,0.6687
1972-12-14,ILO,1.0687
1972-12-16,ILO,0.602
1972-12-17,ILO,1.0096
1972-12-18,ILO,3.5096
1972-12-19,ILO,3.4762
1972-12-20,ILO,2.8096
1972-12-21,ILO,3.0429
1972-12-22,ILO,3.3702
1972-12-26,ILO,1.7369
1972-12-27,ILO,1.5502
1972-12-28,ILO,3.3169
1972-12-29,ILO,2.7169
1972-12-30,ILO,2.9502
1973-01-02,ILO,2.0748
1973-01-03,ILO,1.8415
1973-01-04,ILO,1.5748
1973-01-05,ILO,2.1081
1973-01-08,ILO,3.9599
1973-01-09,ILO,3.0599
1973-01-10,ILO,3.0599
1973-01-11,ILO,2.5529
1973-01-12,ILO,1.8196
1973-01-15,ILO,2.1696
1973-01-16,ILO,1.6045
1973-01-17,ILO,2.0878
1973-01-18,ILO,1.4545
1973-01-19,ILO,2.2045
1973-01-23,ILO,2.2992
1973-01-24,ILO,4.8492
